Title,Description,Keyword,Position,Previous position,Search Volume,CPC,Visible URL,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Trends,Last Seen,Keyword Difficulty
AC Repair - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",ac repair jacksonville fl,1,1,590,40.73,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/air-conditioning-service/,27,39.13,1129.00,58.89,0.66,7480000,"[30,44,44,67,44,82,82,100,67,82,55,36]",2021-01-31,51.45
Heater Repair - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",heat pump repair jacksonville,1,1,390,9.20,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/heating/,18,26.08,168.00,8.76,0.02,7920000,"[0,0,0,0,0,0,0,0,0,0,100,79]",2021-01-23,49.68
Air Conditioning Services - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today! Highly Trained Employees. No Emergency Charges Ever. No-Surprise Pricing. Award-Winning Service.",air conditioning repair jacksonville,1,1,210,38.70,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,9,13.04,381.00,19.87,0.36,25600000,"[66,66,66,53,53,53,44,100,53,81,53,44]",2021-01-21,50.63
HVAC Heat Repair - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",hvac repair jacksonville fl,1,1,90,22.61,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,4,5.79,95.00,4.95,0.44,4580000,"[1,10,100,1,6,1,4,1,1,3,1,1]",2021-01-24,53.7
HVAC Contractors - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today! Highly Trained Employees. Award-Winning Service. No Emergency Charges Ever. No-Surprise Pricing.",hvac contractors jacksonville fl,1,1,90,17.24,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,4,5.79,72.00,3.75,0.45,6230000,"[65,65,65,82,41,41,53,100,41,53,41,41]",2021-01-31,59.47
AC Repair - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",ac repair 32223,1,1,50,0.00,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/air-conditioning-service/,2,2.89,0.00,0,0,87600,"[0,50,50,100,0,0,100,50,50,0,0,0]",2021-01-29,46.51
HVAC Servicing - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",hvac service orange park fl,1,1,50,0.00,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,2,2.89,0.00,0,0,28900000,"[0,25,25,25,25,25,25,25,50,100,75,25]",2021-01-25,47.56
Emergency Heating - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",emergency heating and air jacksonville fl,1,1,30,26.28,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/heating/,1,1.44,37.00,1.93,0.67,3620000,"[14,43,29,14,14,100,14,29,14,14,14,14]",2021-01-27,59.21
Air Conditioning Services - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",ac repair atlantic beach fl,1,1,30,0.00,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,1,1.44,0.00,0,0,7460000,"[33,100,33,33,67,67,67,33,33,33,33,33]",2021-01-26,49.73
Fenwick Home Services Plumbing - $50 Off Plumbing Repairs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",bill fenwick plumbing jacksonville fl,1,1,30,7.92,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,1,1.44,11.00,0.57,0.24,76,"[56,100,33,11,22,78,11,11,11,11,33,22]",2021-01-16,82.73
Fenwick AC Services - Up To $1500 Off HVAC Installs,"Trusted Jacksonville Company For HVAC, Plumbing Repairs & Installations. Consistent Pricing And Performance. 24/7 HVAC & Plumbing Service. Schedule Today!",24 hour ac repair jacksonville fl,1,1,20,25.79,www.fenwickhomeservices.com/,https://www.fenwickhomeservices.com/,0,0,24.00,1.25,0.59,7780000,"[33,33,33,33,33,33,33,33,100,67,33,67]",2021-01-20,51.36
